Rk,School_trim,Games,Wins,Losses,Win%,SimpleRatingSystem,StrengthOfSchedule,W_conf,L_conf,W_home,L_home,W_away,L_away,Points_made,Points_allowed.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,OER,DER,PosPG,TotPos
1,Abilene Christian,30,13,17,0.433,-2.56,1.13,5,11,9,5,4,8,2249,2133,1210,812,1800,0.451,211,613,0.344,414,573,0.723,307,972,471,264,71,379,617,107.0340758,101.5134209,70.04,2101.2
2,Air Force,32,14,18,0.438,2.56,2.68,5,13,10,9,4,9,2142,2146,1295,756,1636,0.462,261,733,0.356,369,511,0.722,213,946,491,184,127,391,544,106.1236623,106.3218391,63.075,2018.4
3,Akron,33,22,11,0.667,4.61,-1.23,13,5,15,1,5,6,2463,2209,1330,844,1898,0.445,300,845,0.355,475,643,0.739,335,1178,443,199,87,370,529,112.4554835,100.8583691,66.36969697,2190.2
4,Alabama NCAA,34,29,5,0.853,23.81,10.14,16,2,15,0,9,3,2794,2329,1390,944,2115,0.446,342,1012,0.338,564,777,0.726,434,1508,517,206,172,479,633,113.0807836,94.26096811,72.67058824,2470.8
5,Alabama A&M,33,15,18,0.455,-10.4,-7.33,10,8,9,8,5,8,2297,2340,1336,823,1868,0.441,226,610,0.37,425,649,0.655,334,1079,419,264,133,498,624,100.2356432,102.1120614,69.44242424,2291.6
6,Alabama State,31,8,23,0.258,-15.97,-5.94,6,12,5,5,2,18,1963,2252,1245,683,1821,0.375,185,605,0.306,412,584,0.705,387,1117,309,182,110,414,557,94.30245965,108.1860108,67.1483871,2081.6
7,Albany (NY),31,8,23,0.258,-14.38,-4.55,3,13,5,6,2,16,2086,2332,1245,726,1755,0.414,237,725,0.327,397,550,0.722,317,1033,363,178,51,414,576,100.6756757,112.5482625,66.83870968,2072
8,Alcorn State,31,18,13,0.581,-8.44,-5.92,15,3,7,2,10,9,2112,2190,1261,746,1813,0.411,159,538,0.296,461,637,0.724,368,1050,310,249,79,393,590,100.9174312,104.6444954,67.50967742,2092.8
9,American,32,17,15,0.531,-8.31,-7.78,7,11,8,6,9,9,2093,2110,1300,785,1630,0.482,204,589,0.346,319,455,0.701,259,970,436,238,126,448,482,104.5977011,105.4472764,62.53125,2001
10,Appalachian State,32,16,16,0.5,-1.3,-0.78,9,9,10,7,6,7,2248,2067,1290,819,1854,0.442,243,726,0.335,367,543,0.676,288,1142,417,204,146,352,442,105.2828775,96.80591982,66.725,2135.2
